,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
973,7.27,1.3,23.11,7.4,102.4,5845857.0,24.0
972,7.05,1.3,23.25,7.69,105.72,6592090.0,72.0
971,6.26,1.34,23.32,7.62,109.25,8738707.0,32.0
970,6.36,1.3,23.19,8.09,107.36,5747803.0,20.0
969,6.86,1.21,23.34,8.02,117.179,10882830.0,27.0
968,6.62,1.3,22.9,8.22,117.82,12061590.0,20.0
967,6.37,1.45,22.91,8.18,115.24,4806662.0,34.0
966,6.38,1.4,23.24,8.25,120.09,6815232.0,36.0
965,6.3,1.46,23.32,8.07,121.61,7804363.0,0.0
964,6.34,1.47,23.62,8.19,123.45,8567075.0,22.0
963,6.09,1.4,23.54,8.28,122.27,5692372.0,36.0
962,6.65,1.5,23.94,8.42,125.61,7480691.0,62.0
961,7.21,1.43,23.76,8.43,129.9,11341990.0,100.0
960,7.0,1.46,23.63,8.53,127.26,9914409.0,61.0
959,6.88,1.41,23.43,8.63,109.05,32325350.0,25.0
958,7.0,1.49,23.54,8.8775,120.25,25994150.0,0.0
957,6.56,1.49,23.63,8.85,119.03,11364370.0,22.0
956,6.59,1.49,24.72,8.83,119.68,5883963.0,21.0
955,6.85,1.56,24.86,8.78,122.43,9797193.0,21.0
954,6.6,1.54,24.71,8.9,122.74,7735416.0,20.0
953,6.63,1.43,24.62,8.76,121.7,6866543.0,0.0
952,6.58,1.49,24.69,8.61,124.07,5283874.0,25.0
951,6.699,1.43,24.65,8.71,129.39,9627227.0,0.0
950,6.65,1.55,24.49,8.48,134.62,9678085.0,0.0
949,6.77,1.57,24.48,8.69,131.74,13119920.0,21.0
948,6.854,1.85,24.37,9.01,134.28,6338258.0,41.0
947,6.61,1.9,24.62,9.298,135.55,5307491.0,0.0
946,6.61,1.88,24.7,9.25,138.0,6221159.0,20.0
945,6.38,1.84,24.52,9.12,144.68,10170820.0,25.0
944,6.51,1.75,24.31,9.16,142.15,9252258.0,25.0
943,6.49,1.63,24.34,9.0,134.23,17818600.0,21.0
942,6.45,1.7,24.33,8.83,153.48,27233590.0,0.0
941,6.35,1.69,24.25,8.81,153.0,8926196.0,0.0
940,6.41,1.5,24.27,8.72,147.38,14885790.0,27.0
939,6.39,1.43,24.2,9.0,145.43,8724841.0,40.0
938,6.31,1.29,24.07,8.93,139.36,11680010.0,25.0
937,6.17,1.27,24.0,8.63,139.67,10179070.0,50.0
936,6.04,1.35,23.95,8.58,142.0,7093792.0,22.0
935,5.56,1.44,23.85,8.648,144.9,8021902.0,28.0
934,5.68,1.44,23.72,8.655,149.58,6387825.0,20.0
933,5.8,1.19,23.61,8.63,147.86,6249798.0,21.0
932,5.98,1.24,23.78,8.72,157.1,10544220.0,0.0
931,6.18,1.2,23.78,8.812,161.839,12913320.0,25.0
930,6.18,1.28,23.61,8.77,164.22,24071200.0,0.0
929,6.19,1.21,23.18,8.96,167.01,17515670.0,21.0
928,6.06,1.25,23.2,9.15,166.45,14713320.0,0.0
927,6.15,1.26,23.11,9.16,166.06,9435470.0,0.0
926,6.16,1.3,23.14,9.0,169.0,10997830.0,0.0
925,6.15,1.28,23.06,9.1,168.94,12021470.0,0.0
924,7.11,1.28,23.17,9.24,170.622,11447440.0,0.0
923,7.64,1.27,23.16,9.19,169.93,6685292.0,25.0
922,7.21,1.3,23.16,9.16,166.97,8601839.0,0.0
921,7.08,1.3,23.39,9.34,160.7,14311250.0,0.0
920,7.14,1.31,23.87,9.4,166.37,8947680.0,20.0
919,7.03,1.35,24.09,9.25,163.52,5815497.0,0.0
918,7.04,1.3,23.85,9.16,164.93,6095815.0,20.0
917,6.94,1.22,23.78,9.19,165.54,5396873.0,25.0
916,7.49,1.22,24.14,9.3,166.58,7579727.0,25.0
915,7.47,1.21,24.45,9.4,166.23,5496924.0,0.0
914,7.48,1.23,24.86,9.8,166.218,5322343.0,0.0
913,7.54,1.21,24.46,9.66,177.92,15577020.0,20.0
912,7.38,1.2,24.01,9.67,183.39,13375710.0,20.0
911,7.21,1.2,24.28,9.62,181.11,8172719.0,0.0
910,7.31,1.17,24.32,9.63,182.33,6272442.0,0.0
909,7.37,1.15,24.23,9.58,185.238,8235227.0,32.0
908,7.3,1.18,24.25,9.69,188.64,6614193.0,0.0
907,7.32,1.13,24.05,9.68,190.9,5915047.0,28.0
906,7.3,1.13,23.89,9.6,193.37,8923283.0,27.0
905,7.85,1.1,24.17,9.63,193.0,7754694.0,27.0
904,7.94,1.01,24.33,9.61,180.95,20717780.0,0.0
903,7.61,0.95,24.1,9.66,173.31,23764970.0,0.0
902,7.61,1.05,24.05,9.45,180.98,14367650.0,65.0
901,7.67,0.98,23.94,9.28,183.07,11461000.0,0.0
900,7.54,0.95,23.67,9.36,174.73,13724220.0,28.0
899,7.71,0.81,23.57,9.56,168.78,15301220.0,0.0
898,7.75,0.888,24.25,9.56,172.93,8836616.0,27.0
897,7.69,1.15,24.4,9.72,178.7,8296133.0,26.0
896,7.66,1.14,24.38,9.7,179.72,7757278.0,26.0
895,7.6,1.19,24.19,9.67,183.94,10955250.0,32.0
894,7.85,1.21,24.36,9.64,183.56,8189484.0,0.0
893,7.92,1.25,24.68,9.49,182.802,6689169.0,28.0
892,8.27,1.26,25.55,9.61,183.4,5907096.0,0.0
891,8.11,1.34,26.14,9.62,172.6,11517300.0,27.0
890,8.54,1.26,26.02,9.63,171.54,11385930.0,26.0
889,8.46,1.27,25.7,9.488,164.5,13319270.0,0.0
888,8.35,1.28,25.94,9.6,173.15,10782700.0,0.0
887,8.2,1.26,25.88,9.51,169.66,7577453.0,32.0
886,7.98,1.31,26.09,9.67,162.86,7807152.0,56.0
885,8.27,1.27,26.21,9.737,164.47,14083380.0,54.0
884,8.13,1.27,26.37,9.9,159.22,8373362.0,0.0
883,8.0,1.3,26.14,10.42,159.94,9332945.0,26.0
882,8.04,1.24,26.54,10.76,162.17,7160261.0,0.0
